Time HEP-0 HEC-0 FPS-0 POP-0 CHY-0 CHS-0 CSY-0 CSS-0 CSN-0 CDS-0 CNY-0 CNS-0 CHC-0 CYE-0 CKS-0 CRH-0 CRW-0 CRC-0 COH-0 COS-0 COD-0 COY-0 COR-0 CDR-0 CMS-0 CMF-0 CMH-0 PIS-0 SAL-0 SAF-0 FMM-0 FVS-0 ROC-0 MRO-0 DVR-0 MVR-0 SMD-0 FDF-0 HAP-0 DOG-0 SBL-0 SSK-0 RAT-0 SB-0 SP-0 BE-0 HSL-0 CSL-0 PIN-0 PHR-0 ROR-0 TOR-0 HUW-0
0.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
1.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
2.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
3.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
4.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
5.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
6.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
7.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
8.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
9.000000e+00 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.000000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.100000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.200000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.300000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.400000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.500000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.600000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.700000e+01 709.030783 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.800000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
1.900000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 4797.356451 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.000000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.100000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.200000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.300000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.400000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.500000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.600000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.700000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.800000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.900000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
2.950000e+01 6260.197698 113.471481 189.642528 118.513024 3.830376 286.598752 4.089497 42.769175 3.674972 1.114095 0.004735 0.606967 4.852294 0.189324 10.476925 2.079555 78.901826 283.606893 527.065272 337.578917 2.541340 1315.440170 118.286198 0.330231 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1171.892546 3350.619464 52.413820 50.195740 9.659824 5.291616 0.029761 350.166311 14.257148 331.013663 84.109212 0.084887 0.417560 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 26.078819
