Time  HEP HEC FPS POP CHY CHS CSY CSS CSN CDS CNY CNS CHC CYE CKS CRH CRW CRC COH COS COD COY COR CDR CMS CMF CMH PIS SAL SAF FMM FVS ROC MRO DVR MVR SMD FDF HAP DOG SBL SSK RAT SB SP BE HSL CSL PIN PHR ROR TOR HUW
0.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 6318.839138 218.278614 208.428822 4329.988941 27590.346559 0.000000 0.000000 0.000000 0.000000 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 0.000000 218.278614 0.000000 4329.988941 27590.346559 0.000000 0.000000 0.000000 0.000000 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 0.000000 218.278614 0.000000 4329.988941 27590.346559 0.000000 0.000000 0.000000 0.000000 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
4.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
5.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
6.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
7.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
8.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
9.000000e+00 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
1.000000e+01 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
1.100000e+01 12844.087590 1477.782916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 20672.256915 1433.674498 0.000000 4150.329957 218.278614 194.815448 4329.988941 27590.346559 0.000000 0.000000 0.000000 2659.053379 0.000000 55.210770 44.461083 10.656000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 468.497875
