Time HEP-0 HEC-0 FPS-0 POP-0 CHY-0 CHS-0 CSY-0 CSS-0 CSN-0 CDS-0 CNY-0 CNS-0 CHC-0 CYE-0 CKS-0 COH-0 COS-0 COD-0 COY-0 CMS-0 CMF-0 CMH-0 PIS-0 SAL-0 SAF-0 FMM-0 FVS-0 ROC-0 MRO-0 DVR-0 MVR-0 SMD-0 FDF-0 HAP-0 DOG-0 SBL-0 SSK-0 RAT-0 SB-0 SP-0 BE-0 HSL-0 CSL-0 PIN-0 PHR-0 ROR-0 TOR-0 HUW-0
0.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
1.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
2.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
3.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
4.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 179.031424 5.291616 0.665867 350.166311 4797.356451 331.013663 84.109212 0.084887 22.951565 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
5.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 0.000000 5.291616 0.000000 350.166311 4797.356451 331.013663 84.109212 0.084887 0.000000 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
6.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 0.000000 5.291616 0.000000 350.166311 4797.356451 331.013663 84.109212 0.084887 0.000000 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
7.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 0.000000 5.291616 0.000000 350.166311 4797.356451 331.013663 84.109212 0.084887 0.000000 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
8.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 0.000000 5.291616 0.000000 350.166311 4797.356451 331.013663 84.109212 0.084887 0.000000 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
9.000000e+00 709.030783 113.471481 189.642528 118.513024 5.551268 362.783246 4.755231 49.731603 4.273223 1.505534 0.006487 0.831461 6.931849 0.274383 13.261932 556.563115 352.747018 2.871570 1389.060353 1762.477629 2734.954661 23.591997 12127.073597 31.096063 1483.408272 3350.619464 52.413820 50.195740 0.000000 5.291616 0.000000 350.166311 4797.356451 331.013663 84.109212 0.084887 0.000000 2317.113694 12.370943 8.714292 2.017500 67.168191 70.482000 1.806451 56.118006 0.000000 0.000000 0.000000
