Time BB PB PL PS MA SG ZS ZM ZL ZG SQX BMD BD BG BMS DUN BML PWN BFF BIV GEC BC HEP HEC FPS POP CHY CHS CSY CSS CSN CDS CNY CNS CHC CYE CKS COH COS COD COY CMS CMF CMH PIS SAL SAF FMM FVS ROC MRO DVR MVR SMD FDF HAP DOG SBL SSK RAT SB SP BE HSL CSL PIN PHR ROR TOR HUW DL DR DC DIN RelBB RelPB RelPL RelPS RelMA RelSG RelZS RelZM RelZL RelZG RelSQX RelBMD RelBD RelBG RelBMS RelDUN RelBML RelPWN RelBFF RelBIV RelGEC RelBC RelHEP RelHEC RelFPS RelPOP RelCHY RelCHS RelCSY RelCSS RelCSN RelCDS RelCNY RelCNS RelCHC RelCYE RelCKS RelCOH RelCOS RelCOD RelCOY RelCMS RelCMF RelCMH RelPIS RelSAL RelSAF RelFMM RelFVS RelROC RelMRO RelDVR RelMVR RelSMD RelFDF RelHAP RelDOG RelSBL RelSSK RelRAT RelSB RelSP RelBE RelHSL RelCSL RelPIN RelPHR RelROR RelTOR RelHUW RelDL RelDR RelDC RelDIN MigHEP MigHEC MigCHY MigCHS MigCSY MigCSS MigCSN MigCDS MigCNY MigCNS MigCHC MigCYE MigCKS MigCOH MigCOS MigCOD MigCOY MigCMS MigCMF MigCMH MigPIS MigSAL MigSAF MigDOG MigBE MigCSL MigPIN MigROR MigTOR MigHUW PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 4203673.546511 706756.650661 147529.819788 7764.727358 68939.953325 12321.350519 1938.294015 10174.037670 3498.515537 142197.731833 3885.554883 69339.773589 235904.416547 950.930627 328.893585 21915.305602 9703.951738 2659.177476 11969.167877 397270.970594 206257.591068 154708.989274 12844.087590 1477.782916 7021.646638 1058.334343 138.439226 7636.653044 58.576033 727.005302 62.275992 35.249443 0.169772 22.842896 106.664888 10.074698 279.256518 1226.049875 803.663184 8.585763 3292.085254 41177.879870 73834.741617 551.198685 18428.864456 878.045259 31225.728866 20672.256915 1433.674498 2374.712712 6318.839138 218.278614 208.428822 4329.988941 27590.346559 9481.364681 7918.619923 6.746502 3191.748172 62407.766424 55.210770 44.461083 10.656000 510.351985 408.549000 23.139005 542.850429 447.542152 193.722121 506.080422 0.000000 2626.461044 110853.973859 45939.182293 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 2.166658 2.150816 1.637958 1.869829 1.867219 2.220890 1.976833 2.331517 1.873801 2.719257 2.150546 1.046423 1.102943 1.259949 1.125812 1.478458 1.389021 1.478451 1.000000 1.465654 2.150825 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.005720 1.004848 1.167063 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 105.747199 5841.061968 32.430456 484.440971 41.483141 28.339887 0.122567 18.693001 84.851925 8.450894 213.607326 158.881448 128.181235 3.029185 628.676195 38938.765533 70360.155857 521.223017 5779.594321 720.499720 23883.659867 0.000000 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.000000 0.000000 0.000000 0.000000 -308.390507 3.417467
1.000000e+00 4200200.050760 796497.680399 147163.115141 7677.954883 68909.739709 12321.329788 1864.369150 10166.324178 3486.390597 142302.587481 3897.989003 69232.195671 237047.348654 958.836603 332.368715 22117.149323 9596.316752 2658.984420 12024.302179 398502.873603 206417.195503 154573.984626 12857.884306 1477.487517 7045.550663 1059.366730 138.979790 7687.394377 58.842411 729.623538 62.589646 35.532388 0.171470 23.015556 107.093954 10.100492 280.548461 1329.939769 890.582818 9.177334 3578.576436 41241.192503 73943.253260 552.340467 19912.898671 880.008731 31386.953428 20623.671793 1433.441849 2379.765833 6326.972572 218.289432 208.698682 4434.207813 27728.351646 9482.220570 7921.742680 6.746840 3191.878581 62452.775710 55.083855 44.561900 10.362344 509.417433 409.271957 23.125038 542.949705 447.542152 193.722121 506.080422 477.169106 1987088.033695 62611.732957 239573.770413 0.999174 1.126976 0.997514 0.988825 0.999562 0.999998 0.961861 0.999242 0.996534 1.000737 1.003200 0.998449 1.004845 1.008314 1.010566 1.009210 0.988908 0.999927 1.004606 1.003101 1.000774 0.999127 1.001074 0.999800 1.003404 1.000975 2.175118 2.165107 1.645406 1.876563 1.876623 2.238717 1.996602 2.349140 1.881339 2.726219 2.160495 1.135092 1.222231 1.346762 1.223784 1.480731 1.391063 1.481514 1.080528 1.468931 2.161930 0.997650 0.999838 1.002128 1.001287 1.000050 1.001295 1.024069 1.005002 1.000090 1.000394 1.000050 1.000041 1.000721 0.997701 1.002268 0.972442 0.998169 1.001770 0.999396 1.000183 1.005720 1.004848 1.167063 1.000000 756.564823 0.564813 5.215020 0.000000 0.000000 105.876316 5846.467343 32.470390 484.887686 41.521371 28.365478 0.122718 18.710275 84.915533 8.459161 213.804999 159.140335 128.347795 3.033222 629.509749 38985.868033 70446.557455 521.912806 5785.104659 721.392581 23905.754168 237.652280 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.594966 0.085590 58.931034 0.000000 -316.795549 0.000000
2.000000e+00 4199564.904705 827862.699053 146849.672173 7635.754196 68900.751785 12321.162724 1780.902350 10177.460209 3486.566530 142400.859647 3911.077912 69204.663472 237113.068292 960.951960 333.305430 22173.112394 9574.200443 2658.914800 12039.797216 398813.194068 206460.407470 154535.652638 12861.885159 1477.276121 6385.607007 1048.217215 114.946237 6485.704214 42.606150 582.443703 50.001989 30.878451 0.135801 20.129963 94.086292 8.900980 236.946812 879.833864 670.141857 6.903392 2647.771297 40832.214306 73324.427582 547.102535 20026.646726 823.985198 26498.283161 20590.764334 1433.338838 2372.651148 6330.469583 218.294063 208.816380 4479.273166 27788.790031 9482.557869 7922.999747 6.747100 3150.023669 62472.651881 55.020060 44.583581 10.291695 509.137342 409.478129 23.121411 542.977081 444.779765 192.617167 499.917284 1227.559342 2680736.431969 50319.373601 327933.625863 0.999023 1.171355 0.995390 0.983390 0.999431 0.999985 0.918799 1.000336 0.996585 1.001428 1.006569 0.998051 1.005123 1.010538 1.013414 1.011764 0.986629 0.999901 1.005901 1.003882 1.000983 0.998880 1.001386 0.999657 0.909417 0.990441 1.798979 1.826658 1.191393 1.498022 1.499208 1.945496 1.581271 2.054615 1.652831 2.402459 1.824720 0.750931 0.919699 1.013064 0.905472 1.466047 1.379421 1.467465 1.086700 1.375415 1.825199 0.996058 0.999766 0.999132 1.001841 1.000071 1.001859 1.034477 1.007192 1.000126 1.000553 1.000089 0.986927 1.001040 0.996546 1.002755 0.965812 0.997620 1.002274 0.999240 1.000233 0.999512 0.999117 1.152850 1.000000 1020.664837 0.453925 7.138430 0.000000 0.000000 106.006786 5851.729124 32.510319 485.318964 41.558334 28.390203 0.122869 18.726968 84.972846 8.467508 213.997804 159.431065 128.494543 3.036834 630.252772 39039.739070 70547.902527 522.671124 5788.132735 722.313440 23927.177454 713.126077 0.000000 0.000000 0.000000 444.779765 192.617167 499.917284 0.435420 0.121801 59.379310 0.000000 -320.927024 0.000000
3.000000e+00 4198952.148380 855473.165005 146569.791122 7604.788141 68891.330733 12320.857607 1699.130727 10189.299846 3486.661502 142479.246600 3924.234622 69177.131265 237153.220706 963.072221 334.244292 22229.212176 9554.023573 2658.855434 12056.308110 399112.537317 206503.719116 154497.038740 12864.976371 1477.002295 6403.606108 1051.709599 116.380364 6516.396847 42.945757 584.524076 50.216769 31.066649 0.137991 57.542340 241.307453 8.938658 237.750055 922.582981 699.832564 7.372172 2756.659706 40916.849189 73472.627613 548.568324 20819.275415 825.636114 26594.909261 20558.492384 1433.235858 2375.199308 5239.825525 218.298695 171.160457 4524.317080 27849.208794 9482.896128 7924.178073 6.792163 2652.138883 62492.524738 54.956844 44.605561 10.222741 509.026566 409.531664 23.117439 543.004607 444.869585 192.655904 425.635278 2226.493422 3349281.862551 40478.645470 418412.140633 0.998877 1.210421 0.993493 0.979402 0.999295 0.999960 0.876611 1.001500 0.996612 1.001980 1.009955 0.997654 1.005294 1.012768 1.016269 1.014324 0.984550 0.999879 1.007280 1.004636 1.001193 0.998630 1.001626 0.999472 0.911981 0.993740 1.821424 1.835303 1.200889 1.503373 1.505647 1.957353 1.606772 5.873202 4.239091 2.412629 1.830906 0.787417 0.960447 1.081857 0.942709 1.469086 1.382209 1.471396 1.129710 1.378171 1.831854 0.994497 0.999694 1.000205 0.829239 1.000092 0.821194 1.044880 1.009382 1.000162 1.000702 1.006768 0.830936 1.001358 0.995401 1.003250 0.959341 0.997403 1.002405 0.999068 1.000284 0.999714 0.999318 0.981550 1.000000 1275.207135 0.365153 9.107958 0.000000 0.000000 106.138516 5856.844345 32.550216 485.734578 41.594010 28.414049 0.123020 18.743071 85.023853 8.475932 214.185631 159.752837 128.621379 3.040017 630.904653 39100.340561 70664.116618 523.497460 5788.705468 723.261708 23947.918023 1187.249234 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.463823 0.118347 61.431034 0.000000 -330.550418 0.000000
4.000000e+00 4198353.679565 879784.944277 146306.750276 7579.976781 68881.372691 12320.412881 1621.027190 10201.331014 3486.065876 142551.803265 3937.472316 69149.595279 237167.854113 965.197377 335.185302 22285.439967 9535.480092 2658.793132 12072.754968 399400.348102 206547.126341 154458.075125 12867.983757 1476.726574 6421.552897 1055.215904 117.889870 6549.897888 43.305638 586.813504 50.449896 31.275529 0.140768 123.400532 483.579780 8.979552 238.573080 980.345246 733.508109 8.137926 2875.590851 41002.015922 73620.887687 550.039168 21619.860831 827.292165 26691.730002 20525.622888 1433.133790 2377.747437 5243.324173 218.303327 171.278167 4569.334222 27909.609062 9483.235372 7925.281121 6.837130 2652.207944 62512.394068 54.894281 44.627980 10.155520 508.924607 409.586436 23.113497 543.032284 444.959408 192.694651 426.226023 3361.507514 3994442.957277 32576.492021 510597.496657 0.998734 1.244820 0.991710 0.976206 0.999150 0.999924 0.836316 1.002683 0.996441 1.002490 1.013362 0.997257 1.005356 1.015003 1.019130 1.016889 0.982639 0.999855 1.008654 1.005360 1.001404 0.998378 1.001860 0.999285 0.914537 0.997053 1.845048 1.844738 1.210953 1.509261 1.512637 1.970514 1.639111 12.595182 8.495132 2.423666 1.837244 0.836716 1.006663 1.194230 0.983381 1.472144 1.384998 1.475341 1.173152 1.380935 1.838523 0.992907 0.999623 1.001278 0.829792 1.000113 0.821759 1.055276 1.011572 1.000197 1.000841 1.013433 0.830958 1.001677 0.994268 1.003754 0.953033 0.997203 1.002539 0.998898 1.000335 0.999916 0.999519 0.982912 1.000000 1520.846070 0.293869 11.114641 0.000000 0.000000 106.270211 5861.956494 32.590101 486.149928 41.629664 28.437879 0.123171 18.759163 85.074811 8.484353 214.373346 160.074308 128.747964 3.043195 631.555275 39160.958846 70780.372162 524.323909 5789.274402 724.209849 23968.645812 1658.038242 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.490206 0.114603 61.758621 0.000000 -334.133318 0.000000
5.000000e+00 4197766.580810 901264.746664 146086.869114 7571.202978 68870.976474 12319.873291 1545.984847 10213.219050 3484.827560 142617.506039 3950.643995 69122.051300 237158.774791 967.327431 336.128456 22341.787654 9518.289269 2658.728032 12089.191249 399680.259618 206590.627457 154418.776360 12870.886463 1476.451028 6439.332695 1058.733513 119.471795 6585.999695 43.684624 589.295448 50.700063 31.502978 0.144084 216.059875 816.799377 9.023526 239.411593 1052.567491 770.892514 9.190934 3003.654202 41087.473941 73768.924764 551.508167 22424.636572 828.950574 26788.204666 20491.961427 1433.032519 2380.289315 5246.810082 218.307931 171.395528 4614.108086 27969.729167 9483.575436 7926.304067 6.881990 2652.276806 62532.191978 54.832405 44.650853 10.089970 508.831299 409.642955 23.109586 543.060114 445.049233 192.733409 426.816770 4554.772874 4617631.126447 26238.531575 604235.417733 0.998595 1.275212 0.990219 0.975076 0.998999 0.999880 0.797601 1.003851 0.996087 1.002952 1.016752 0.996860 1.005317 1.017243 1.021998 1.019460 0.980867 0.999831 1.010028 1.006065 1.001615 0.998124 1.002086 0.999099 0.917069 1.000377 1.869806 1.854906 1.221550 1.515645 1.520138 1.984844 1.677728 22.052689 14.348860 2.435535 1.843701 0.898357 1.057969 1.348757 1.027175 1.475212 1.387783 1.479282 1.216821 1.383704 1.845169 0.991278 0.999552 1.002348 0.830344 1.000134 0.822322 1.065617 1.013751 1.000233 1.000970 1.020083 0.830979 1.001994 0.993147 1.004268 0.946882 0.997020 1.002678 0.998729 1.000386 1.000118 0.999720 0.984274 1.000000 1758.119024 0.236695 13.152942 0.000000 0.000000 106.401870 5867.065569 32.629973 486.565014 41.665295 28.461695 0.123322 18.775246 85.125721 8.492770 214.560951 160.395476 128.874297 3.046366 632.204639 39221.593824 70896.668955 525.150471 5789.839560 725.157863 23989.360804 2123.421640 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.524838 0.110524 61.931034 0.000000 -337.696597 0.000000
6.000000e+00 4197193.973959 920307.968800 145932.564612 7588.374655 68860.307656 12319.244051 1475.456050 10225.223143 3482.993186 142676.264741 3963.806849 69094.690259 237130.712217 969.454604 337.070301 22397.946595 9502.284390 2658.660159 12105.657996 399952.175243 206633.757811 154379.384941 12873.657423 1476.175652 6456.849579 1062.253930 121.122382 6624.491195 44.081427 591.955979 50.966825 31.748066 0.147912 333.594322 1236.843262 9.070400 240.261851 1138.646799 811.741733 10.519991 3140.102102 41173.097507 73916.611341 552.971812 23228.555386 830.608868 26883.864963 20458.756075 1432.932526 2382.819889 5250.274026 218.312491 171.512282 4658.477679 28029.414398 9483.915415 7927.245253 6.926728 2652.345328 62551.870939 54.771427 44.673800 10.026711 508.745019 409.700560 23.105708 543.087794 445.139062 192.772177 427.407520 5755.170069 5218546.224265 21158.780804 699046.598212 0.998459 1.302157 0.989173 0.977288 0.998845 0.999829 0.761214 1.005031 0.995563 1.003365 1.020139 0.996465 1.005198 1.019480 1.024861 1.022023 0.979218 0.999805 1.011403 1.006749 1.001824 0.997870 1.002302 0.998912 0.919563 1.003704 1.895639 1.865747 1.232646 1.522488 1.528136 2.000286 1.722292 34.049135 21.727845 2.448187 1.850249 0.971825 1.114030 1.543795 1.073837 1.478286 1.390562 1.483207 1.260444 1.386472 1.851758 0.989672 0.999482 1.003414 0.830892 1.000155 0.822882 1.075864 1.015914 1.000269 1.001089 1.026714 0.831001 1.002309 0.992042 1.004784 0.940945 0.996851 1.002819 0.998561 1.000437 1.000320 0.999921 0.985637 1.000000 1986.911718 0.190871 15.216784 0.000000 0.000000 106.533494 5872.171564 32.669833 486.979836 41.700904 28.485495 0.123473 18.791318 85.176582 8.501185 214.748443 160.716340 129.000379 3.049531 632.852746 39282.245393 71013.006790 525.977144 5790.400964 726.105749 24010.062984 2581.263157 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.566999 0.106418 62.017241 0.000000 -341.227272 0.000000
7.000000e+00 4196635.097086 937280.441089 145815.939853 7624.238797 68849.396171 12318.538806 1409.195117 10237.349746 3480.547727 142728.508804 3977.004708 69067.418640 237085.721300 971.579658 338.011193 22453.873779 9487.275020 2658.589212 12121.926023 400218.662775 206676.623830 154339.789929 12876.305167 1475.898227 6474.176671 1065.775229 122.841958 6665.421848 44.496288 594.765932 51.251211 32.011312 0.152225 474.129464 1740.241530 9.120180 241.126199 1238.597253 856.175606 12.123427 3285.519125 41259.063868 74064.166166 554.435711 24033.251173 832.268849 26978.968964 20425.947413 1432.834657 2385.341430 5253.723888 218.317028 171.628578 4702.546460 28088.813208 9484.255841 7928.109529 6.971333 2652.413635 62571.453376 54.711281 44.696991 9.965631 508.665964 409.759649 23.101859 543.115448 445.228893 192.810956 427.998272 6934.180104 5800570.121979 17079.292012 795166.331902 0.998326 1.326171 0.988383 0.981907 0.998686 0.999772 0.727029 1.006223 0.994864 1.003733 1.023536 0.996072 1.005008 1.021715 1.027722 1.024575 0.977671 0.999779 1.012763 1.007420 1.002032 0.997614 1.002508 0.998725 0.922031 1.007031 1.922552 1.877275 1.244247 1.529715 1.536663 2.016872 1.772520 48.393204 30.571132 2.461623 1.856905 1.057132 1.175011 1.779097 1.123566 1.481373 1.393337 1.487134 1.304109 1.389243 1.858308 0.988085 0.999414 1.004476 0.831438 1.000176 0.823440 1.086041 1.018067 1.000305 1.001198 1.033326 0.831022 1.002623 0.990953 1.005306 0.935213 0.996696 1.002963 0.998395 1.000488 1.000521 1.000122 0.986999 1.000000 2208.511768 0.154070 17.309109 0.000000 0.000000 106.665082 5877.274477 32.709681 487.394394 41.736490 28.509280 0.123623 18.807380 85.227394 8.509596 214.935824 161.036899 129.126209 3.052690 633.499596 39342.913453 71129.385461 526.803928 5790.958639 727.053505 24030.752338 3029.390302 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.616470 0.102378 62.103448 0.000000 -344.733688 0.000000
8.000000e+00 4196088.657391 952490.711772 145730.978151 7679.765298 68838.236360 12317.848477 1346.848465 10249.568615 3477.490927 142774.491691 3990.242401 69040.177743 237026.795439 973.704046 338.951980 22509.671484 9473.110876 2658.515192 12137.980420 400480.574020 206719.345039 154299.884830 12878.804541 1475.617294 6491.345385 1069.298195 124.631512 6708.843618 44.929468 597.759362 51.552644 32.291550 0.156988 635.443990 2320.632846 9.172849 242.006619 1352.434733 904.274249 14.002784 3440.193135 41345.485813 74211.721126 555.902881 24840.464825 833.932428 27073.761593 20393.527696 1432.739188 2387.856433 5257.165459 218.321556 171.744569 4746.381366 28148.002856 9484.596824 7928.900482 7.015793 2652.481798 62590.964149 54.651959 44.720632 9.906231 508.595286 409.821368 23.098051 543.143216 445.318727 192.849745 428.589027 8075.034510 6365958.245798 13797.840058 892560.140285 0.998196 1.347693 0.987807 0.989058 0.998525 0.999716 0.694863 1.007424 0.993990 1.004056 1.026943 0.995679 1.004758 1.023949 1.030583 1.027121 0.976212 0.999751 1.014104 1.008079 1.002239 0.997356 1.002703 0.998535 0.924476 1.010360 1.950559 1.889504 1.256360 1.537414 1.545701 2.034528 1.827977 64.858173 40.766970 2.475839 1.863685 1.154291 1.241021 2.054890 1.176461 1.484476 1.396113 1.491069 1.347911 1.392019 1.864838 0.986517 0.999348 1.005535 0.831983 1.000197 0.823996 1.096165 1.020212 1.000341 1.001298 1.039916 0.831044 1.002935 0.989879 1.005838 0.929639 0.996558 1.003114 0.998230 1.000539 1.000723 1.000323 0.988361 1.000000 2423.777905 0.124469 19.429169 0.000000 0.000000 106.796634 5882.374303 32.749516 487.808686 41.772054 28.533050 0.123774 18.823431 85.278158 8.518005 215.123093 161.357150 129.251789 3.055843 634.145190 39403.597904 71245.804761 527.630820 5791.512607 728.001131 24051.428850 3465.626392 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.672813 0.098459 62.155172 0.000000 -348.221241 0.000000
9.000000e+00 4195553.085734 966188.925355 145641.972180 7742.611127 68826.863276 12317.141633 1288.144367 10261.842734 3473.849140 142814.427344 4003.508298 69013.021322 236955.032903 975.829367 339.893213 22565.416493 9459.693347 2658.438338 12153.804683 400737.577779 206761.896967 154259.746213 12881.168479 1475.331258 6508.328510 1072.826411 126.490250 6754.704737 45.380536 600.930674 51.869971 32.587839 0.162169 815.538016 2970.907071 9.228340 242.902906 1479.969598 956.012957 16.152404 3604.095046 41432.342584 74359.240883 557.372734 25650.003828 835.599062 27168.214593 20361.483128 1432.646266 2390.367343 5260.600605 218.326071 171.860355 4789.997666 28206.992515 9484.938583 7929.620287 7.060097 2652.549817 62610.431605 54.593362 44.744803 9.848150 508.532737 409.886228 23.094295 543.171104 445.408566 192.888546 429.179784 9168.876845 6916499.755191 11155.143253 991267.614893 0.998068 1.367074 0.987204 0.997152 0.998360 0.999658 0.664576 1.008630 0.992949 1.004337 1.030357 0.995288 1.004454 1.026184 1.033444 1.029665 0.974829 0.999722 1.015426 1.008726 1.002445 0.997096 1.002887 0.998341 0.926895 1.013693 1.979650 1.902421 1.268973 1.545570 1.555215 2.053196 1.888307 83.239918 52.190452 2.490817 1.870588 1.263141 1.312027 2.370344 1.232511 1.487594 1.398889 1.495012 1.391839 1.394801 1.871344 0.984967 0.999283 1.006592 0.832526 1.000217 0.824552 1.106238 1.022350 1.000377 1.001389 1.046483 0.831065 1.003247 0.988817 1.006381 0.924188 0.996435 1.003273 0.998068 1.000591 1.000925 1.000524 0.989724 1.000000 2633.391336 0.100629 21.577825 0.000000 0.000000 106.928149 5887.471037 32.789339 488.222714 41.807595 28.556804 0.123924 18.839473 85.328874 8.526410 215.310251 161.677093 129.377117 3.058990 634.789529 39464.298644 71362.264486 528.457819 5792.062890 728.948624 24072.092505 3887.826415 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.735401 0.094705 62.206897 0.000000 -351.691164 0.000000
